Algoritmo,Objetivo,Tempo de processamento,Achou solucao?
Busca em Profundidade (m=10),1,0,True
Busca em Profundidade (m=10),2,0,True
Busca em Profundidade (m=10),3,0,True
Busca em Profundidade (m=10),4,0,True
Busca em Profundidade (m=10),5,0,True
Busca em Profundidade (m=10),6,0,True
Busca em Profundidade (m=10),7,0,True
Busca em Profundidade (m=10),8,0,True
Busca em Profundidade (m=10),9,0,True
Busca em Profundidade (m=10),10,0,True
Busca em Profundidade (m=10),11,0,True
Busca em Profundidade (m=10),12,0,True
Busca em Profundidade (m=10),13,0,True
Busca em Profundidade (m=10),14,0,True
Busca em Profundidade (m=10),15,0,True
Busca em Profundidade (m=10),16,0,True
Busca em Profundidade (m=10),17,0,True
Busca em Profundidade (m=10),18,0,True
Busca em Profundidade (m=10),19,0,True
Busca em Profundidade (m=10),20,0,True
Busca em Profundidade (m=10),21,0,True
Busca em Profundidade (m=10),22,1000,False
Busca em Profundidade (m=10),23,1001,False
Busca em Profundidade (m=10),24,1000,False
Busca em Profundidade (m=10),25,1001,False
Busca em Profundidade (m=10),26,1001,False
Busca em Profundidade (m=10),27,999,False
Busca em Profundidade (m=10),28,1000,False
Busca em Profundidade (m=10),29,1001,False
Busca em Profundidade (m=10),30,999,False
Busca em Profundidade (m=10),31,999,False
Busca em Profundidade (m=10),32,1000,False
Busca em Profundidade (m=10),33,1000,False
Busca em Profundidade (m=10),34,1000,False
Busca em Profundidade (m=10),35,1000,False
Busca em Profundidade (m=10),36,1000,False
Busca em Profundidade (m=10),37,1000,False
Busca em Profundidade (m=10),38,1001,False
Busca em Profundidade (m=10),39,2000,False
Busca em Profundidade (m=10),40,1001,False
Busca em Profundidade (m=10),41,1001,False
Busca em Profundidade (m=10),42,1000,False
Busca em Profundidade (m=10),43,1000,False
Busca em Profundidade (m=10),44,1000,False
Busca em Profundidade (m=10),45,1001,False
Busca em Profundidade (m=10),46,1000,False
Busca em Profundidade (m=10),47,1013,False
Busca em Profundidade (m=10),48,1000,False
Busca em Profundidade (m=10),49,1001,False
Busca em Profundidade (m=10),50,1000,False
